OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,359",851,"5,409",16.96,205.00,-101.00,75,204.00,208.95,75,"14,750.00",75,239.00,255.20,75,66.55,247.95,21.16,"5,227",193,"1,001",
,"28,804","9,761","60,446",17.04,182.10,-95.65,"4,875",182.00,182.95,75,"14,800.00",75,270.25,273.95,750,73.15,274.95,21.25,"52,099",230,"19,784",
,"1,162",194,"3,052",17.10,160.95,-86.95,150,156.20,160.95,75,"14,850.00",75,295.00,303.00,75,76.85,298.00,20.88,"1,902",-186,770,
,"11,941","1,948","25,683",16.68,136.00,-83.85,75,135.75,136.75,75,"14,900.00",75,323.25,327.95,675,84.85,327.95,20.96,"12,574","-1,064","6,572",
,738,-328,"3,198",16.64,117.50,-77.95,150,116.15,120.95,150,"14,950.00",75,351.65,368.25,75,97.90,364.20,21.46,588,-146,332,
,"38,467","3,163","68,204",16.48,99.60,-69.90,525,99.00,100.00,75,"15,000.00",150,389.00,393.50,750,101.95,393.70,21.25,"17,715","-2,307","14,328",
,587,202,"2,435",16.36,84.00,-62.65,75,80.05,84.05,75,"15,050.00",75,418.50,432.10,75,107.65,425.00,21.06,180,-28,83,
,"9,348","1,001","22,979",16.33,71.00,-54.05,900,68.65,71.00,225,"15,100.00",75,455.60,467.40,750,108.15,456.00,20.69,"1,240",19,"1,119",
,766,-28,"2,410",16.00,57.05,-49.50,75,57.00,59.90,75,"15,150.00",150,489.90,506.05,600,113.95,492.20,20.69,44,-7,112,
,"14,741","3,992","38,354",16.12,48.50,-41.45,75,46.05,48.50,300,"15,200.00",75,532.20,546.35,75,123.95,534.00,21.14,"1,400",-196,"1,233",
,"1,315",172,"3,577",16.02,39.50,-35.50,75,35.65,40.50,75,"15,250.00",75,510.30,597.20,75,115.95,570.00,20.86,19,-6,134,
